text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
"It makes perfect sense that analyzing educational data should eventually lead to \intelligent\"" interventions that improve learning! #DSE16""",FALSE,0,NA,2/16/2016 18:45,FALSE,NA,6.99666E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",bhavana_budithi,0,FALSE,FALSE,NA,NA,
2GB of free Google Drive space for checking security settings: https://t.co/IsJlOnrYY0 #DSE16 #SaferInternetDay,FALSE,0,NA,2/10/2016 21:12,FALSE,NA,6.97453E+17,NA,<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>,learng00d,0,FALSE,FALSE,NA,NA,
"#dse16 Not all aspects can be measured, but I do agree individual learning behavior patterns can be assessed for personalized education.",FALSE,0,NA,2/10/2016 2:00,FALSE,NA,6.97163E+17,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,maggiilee,0,FALSE,FALSE,NA,NA,
"Measuring learning is difficult, I agree. So how as educators and analysts do we even approach it? #DSE16 #disheartening #dataminingstudents",FALSE,0,NA,2/9/2016 23:07,FALSE,NA,6.9712E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,yo_conno,0,FALSE,FALSE,NA,NA,
Ok.. So what's the downside to uniting these data mining orgs? Bad profits? #siemens #DSE16,FALSE,1,NA,2/9/2016 22:57,FALSE,NA,6.97117E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,yo_conno,0,FALSE,FALSE,NA,NA,
LA &gt; analyzing the âœ“ and âœ˜. It opens up a justifiable space for teachers to create unconventional learning opportunities #DSE16,FALSE,0,NA,2/9/2016 9:06,FALSE,NA,6.96908E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,bhavana_budithi,0,FALSE,FALSE,NA,NA,
\Simplify learning to understand learning\. #simpleyetstrong #DSE16,FALSE,0,NA,2/9/2016 8:49,FALSE,NA,6.96904E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,bhavana_budithi,0,FALSE,FALSE,NA,NA,
Organizational change is slow and costly. Turning data into actionable intelligence will be limited with the current design #dse16,FALSE,1,NA,2/8/2016 21:49,FALSE,NA,6.96738E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,EllenModlin,0,FALSE,FALSE,NA,NA,
"Wranglers' analytics provide valuable data to foster single loop learning, but not double loop. May be easier to steer the titanic #dse16",FALSE,0,NA,2/8/2016 21:30,FALSE,NA,6.96733E+17,NA,<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>,EllenModlin,0,FALSE,FALSE,NA,NA,
Excited to see the new #Samsung UHD displays this year at #dse16  https://t.co/6lBqs3QiwB,FALSE,3,NA,2/8/2016 20:57,FALSE,NA,6.96725E+17,NA,<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>,jhca1971,0,FALSE,FALSE,NA,NA,
